,smilles  ,molecularforma,ROMol
6,COc1cc(NS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1                                                                                                                                                                                                                                                                                                                                       ,C22H23N5O4S
7,CC(C)c1cnc(N2CC[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12                                                                                                                                                                                                                                                                                                                            ,C25H32FN7O
8,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1                                                                                                                                                                                                                                                                                                                    ,C32H43BrN7O4P
9,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-]                                                                                                                                                                                                                                                                                                                                         ,C22H20ClFN6O4
10,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1                                                                                                                                                                                                                                                                                                                      ,C32H42BrN6O5P
11,COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-]                                                                                                                                                                                                                                                                                                                                        ,C22H20ClFN6O5
12,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-]                                                                                                                                                                                                                                                                                                                                       ,C24H24ClFN6O4
13,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1                                                                                                                                                                                                                                                                                                                                      ,C30H30N8O2
14,C#CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)[C@H](C)C1                                                                                                                                                                                                                                                                                                                                ,C24H20Cl2FN5O4
15,COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-]                                                                                                                                                                                                                                                                                                                                           ,C23H23BrN6O4
16,Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1                                                                                                                                                                                                                                                                                                                                                                ,C15H10BrN5
17,C=CC(=O)N1CCN(C(=O)Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)[C@H](C)C1                                                                                                                                                                                                                                                                                                                                    ,C24H23ClFN5O4
18,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1                                                                                                                                                                                                                                                                                                                                      ,C30H30N8O2
19,OCCN(CCO)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                                                                                                                                                                                                                                                                                                                         ,C20H25BrN6O2
